OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,Shape_STArea__,Shape_STLength__,PARK_ID,REGION,ShapeSTArea,ShapeSTLength
1,Wilson Park,City of Boston, ,1,Allston-Brighton,0.09717567,Off 1686 Commonwealth Ave.,Open Space District,"Malls, Squares & Plazas",NULL, ,N,X, ,BPWD,0,0,,PARK_Maintenance_Region 4,4233.046875,256.7300082
2,Nickerson Field,Private, ,3,Allston-Brighton,6.34559501, ,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,N,Boston University Field,,0,0,,INFO_Reallocation From Dept,276419.0325,2104.702611
3,Hooker-Sorrento Street Playground,City of Boston,A97,3,Allston-Brighton,1.00537799,120 Hooker Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 4,43737.35132,852.8441117
4,Smith Playground,City of Boston,A97,3,Allston-Brighton,14.79771231,235 Western Ave.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 4,654457.5037,3624.893621
5,Fern Square,City of Boston,A97,1,Allston-Brighton,0.04054316,Opposite 101 Franklin Str.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X,"James F. Collins Square, Franklin Square",,0,0,,PARK_Maintenance_Region 4,1938.695313,207.3205312
6,Ringer Playground,City of Boston,A97,3,Allston-Brighton,10.25585494, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 4,447031.2051,3765.829384
7,Kennedy Rock,Private, ,6,Allston-Brighton,2.21054314, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL, ,N,N, ,,0,0,,INFO_Reallocation From Dept,96292.97192,1270.349749
8,McKinney Playground,City of Boston,A97,3,Allston-Brighton,5.89138132,61-74 Faneuil Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 4,256633.1348,2170.126268
9,Hobart Park,City of Boston,A97,3,Allston-Brighton,0.80884689,Opposite 18 Ranlegh Rd.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 4,35233.99731,797.5968022
10,Market Street Burying Ground,City of Boston,Ch114S7/A97,4,Allston-Brighton,0.39534779,Opposite 381 Market Str.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Ground Maintenance,17221.65601,536.818225
11,Jackson Square,City of Boston,A97,1,Allston-Brighton,0.12031326,Opposite 63 Chestnut Hill Ave,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Viola Square,BPRD,0,0,,PARK_Maintenance_Region_4,5240.938721,277.7903215
12,Reilly Playground,Commonwealth of Massachusetts,A97,3,Allston-Brighton,6.96695306, ,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, ,,0,0,,INFO_Reallocation From Dept,303485.8718,2550.505949
13,Boyden Park,Commonwealth of Massachusetts,A97,1,Allston-Brighton,0.48179081, ,Institutional District,"Malls, Squares & Plazas",DCR, ,X,X, ,,0,0,,INFO_Reallocation From Dept,20987.18262,608.7100182
